site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto,artresearch_match,match_score,match_place,documentato,documentato_realmente
Tomba della Montagnola,,43.8334,11.2163,Basso,Medio,"Tomba della Montagnola, Sesto Fiorentino-Quinto",100,Sesto Fiorentino-Quinto,True,True
tomba della Sirena,,42.654360547494,11.639835603638,Basso,Medio,,0,,False,False
Acquedotto medievale di Salerno,,40.6833,14.7667,Basso,Medio,,0,,False,False
Tomba dell'Arciere,,43.6239,11.1932,Basso,Medio,,0,,False,False
anfiteatro romano di Albano Laziale,,41.732719444444,12.664947222222,Basso,Elevato,,0,,False,False
Tumulo della Cuccumella,,42.4147048,11.6429007,Basso,Medio,,0,,False,False
Antiquarium di Pompei,,40.74854,14.48329,Basso,Medio,,0,,False,False
area funeraria fuori Porta Decumana di Aosta,,45.7349,7.3121,Basso,Medio,,0,,False,False
tomba Galeotti,,43.010027,11.949995,Basso,Medio,,0,,False,False
Aequum Tuticum,,41.24230833,15.0984744,Basso,Elevato,,0,,False,False
Poggio Civitella,,43.0354128,11.4826342,Basso,Medio,,0,,False,False
Anaktoron di Pantalica,,37.134336111111,15.025666666667,Basso,Elevato,,0,,False,False
Capitolium,,45.539516,10.225602,Basso,Elevato,"Capitolium, Terracina",100,Terracina,True,False
Catacomba di Calepodio,,41.89258,12.4324,Basso,Medio,,0,,False,False
Catacomba dei due Felici,,41.889967,12.43457,Basso,Medio,,0,,False,False
Catacomba dei Giordani,,41.924277777778,12.503611111111,Basso,Medio,,0,,False,False
